Auditing Related Day Fields (Days 1-60)...
------------------------------------------------------------
Found issues in 198 files:
[Day 1] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0001-two-sum.md
[Day 42] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0042-agent-evaluation-frameworks.md
[Day 43] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0043-median-of-two-sorted-arrays.md
[Day 43] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0043-vector-databases.md
[Day 43] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0043-speech-enhancement.md
[Day 43] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0043-testing-ai-agents.md
[Day 44] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0044-largest-rectangle-histogram.md
[Day 44] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0044-llm-serving.md
[Day 44] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0044-voice-conversion.md
[Day 44] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0044-prompt-injection-defense.md
[Day 45] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0045-sliding-window-maximum.md
[Day 45] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0045-rag-systems.md
[Day 45] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0045-speech-emotion-recognition.md
[Day 45] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0045-data-leakage-prevention.md
[Day 46] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0046-binary-tree-max-path-sum.md
[Day 46] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0046-transfer-learning.md
[Day 46] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0046-cross-lingual-speech-transfer.md
[Day 46] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0046-token-efficiency-optimization.md
[Day 47] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0047-serialize-deserialize-tree.md
[Day 47] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0047-model-serialization.md
[Day 47] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0047-speech-model-export.md
[Day 47] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0047-cost-management-for-agents.md
[Day 48] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0048-word-search-ii.md
[Day 48] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0048-trie-based-search.md
[Day 48] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0048-phonetic-trie.md
[Day 48] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0048-streaming-real-time-agents.md
[Day 49] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0049-course-schedule.md
[Day 49] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0049-dag-pipeline-orchestration.md
[Day 49] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0049-speech-pipeline-dependencies.md
[Day 49] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0049-dependency-graphs-for-agents.md
[Day 50] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0050-alien-dictionary.md
[Day 50] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0050-character-level-language-models.md
[Day 50] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0050-custom-language-modeling.md
[Day 50] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0050-building-domain-specific-agents.md
[Day 51] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0051-median-of-two-sorted-arrays.md
[Day 51] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0051-federated-learning.md
[Day 51] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0051-privacy-preserving-speech.md
[Day 51] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0051-knowledge-graphs-for-agents.md
[Day 52] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0052-trapping-rain-water.md
[Day 52] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0052-anomaly-detection.md
[Day 52] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0052-speech-anomaly-detection.md
[Day 52] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0052-long-context-agent-strategies.md
[Day 53] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0053-first-missing-positive.md
[Day 53] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0053-data-validation.md
[Day 53] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0053-audio-quality-validation.md
[Day 53] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0053-agent-deployment-patterns.md
[Day 54] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0054-wildcard-matching.md
[Day 54] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0054-pattern-matching-in-ml.md
[Day 54] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0054-acoustic-pattern-matching.md
[Day 54] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0054-scaling-multi-agent-systems.md
